# NBs       NBID        RA          DEC               F_Lya          dF_Lya      EW_rest       fuv            dfuv   U-B   Type   SpatialWeight
    470     56      52.8768960     -27.8187044       3.861e-17       5.224e-18 9000.00       7.701e-33       1.633e-31   -1.69  N    1.37
    470     65      53.1448548     -27.7999194       5.122e-17       4.793e-18  109.42       8.403e-31       1.697e-31    1.53  N    3.40
    470     67      53.2005282     -27.7985650       1.132e-16       1.310e-17   79.23       2.566e-30       4.367e-31    0.52  N    3.31
    470     70      53.1014859     -27.7927251       2.930e-17       3.924e-18   71.42       7.366e-31       1.505e-31    0.74  N    3.12
    470     71      53.1362325     -27.7874855       1.042e-16       9.091e-18 9000.00       2.079e-32       3.286e-31   -1.15  N    3.67
    470     72      53.0782559     -27.7869727       9.825e-17       6.472e-18   99.11       1.780e-30       2.221e-31    1.28  N    2.72
    470     76      53.1952096     -27.7793245       1.435e-16       1.175e-17   90.60       2.843e-30       3.735e-31    0.65  N    3.84
    470     81      53.1752847     -27.7690953       2.936e-17       5.777e-18   73.52       7.170e-31       1.815e-31    0.80  N    4.05
    470     89      53.0967606     -27.7485708       6.864e-17       7.941e-18   54.67       2.254e-30       2.736e-31    0.84  N    3.53
    470     91      52.8577122     -27.7437648       2.945e-17       5.434e-18  217.03       2.436e-31       3.519e-31   -0.07  N    0.75
    470     92      53.1716426     -27.7434085       3.288e-17       6.406e-18   43.09       1.370e-30       2.022e-31    0.32  N    3.29
    470     93      53.2130871     -27.7421468       4.359e-17       7.751e-18   33.14       2.361e-30       2.431e-31    5.62  N    2.86
    470    100      53.0947402     -27.7295163       3.498e-17       3.666e-18  154.32       4.069e-31       1.277e-31    0.35  N    3.37
    470    101      53.3346910     -27.7291497       7.914e-17       6.042e-18  103.91       1.367e-30       2.015e-31    1.32  N    1.54
    470    105      53.3116818     -27.7278534       2.472e-16       1.658e-17  200.73       2.211e-30       5.394e-31    0.78  N    1.79
    470    108      53.2034100     -27.7161102       3.283e-17       6.226e-18   45.68       1.290e-30       1.939e-31    1.06  N    2.10
    470    111      53.0564151     -27.7094383       4.285e-17       3.782e-18 1162.79       6.616e-32       1.274e-31    0.48  N    3.51
    470    112      53.2837071     -27.7077209       4.114e-17       6.444e-18   40.29       1.833e-30       2.201e-31    0.44  N    1.83
    470    117      53.0605323     -27.6986174       3.015e-17       5.454e-18   45.96       1.177e-30       1.866e-31    3.07  N    3.56
    470    121      53.0732403     -27.6854099       4.827e-17       7.261e-18   38.18       2.269e-30       2.677e-31    0.41  N    3.23
    470    124      53.4016260     -27.6744516       5.912e-17       8.145e-18 9000.00       1.179e-32       2.712e-31   -0.66  N    0.71
    470    129      53.0444373     -27.6740328       3.322e-17       4.349e-18  101.29       5.888e-31       1.698e-31    0.56  N    2.78
    470    133      53.2820227     -27.6687017       4.425e-17       5.318e-18 9000.00       8.826e-33       1.635e-31   -1.48  N    1.22
    470    136      53.0845200     -27.6318722       4.312e-17       4.706e-18  123.22       6.282e-31       1.650e-31    1.00  N    1.59
    470    139      52.8689787     -27.6054437       3.144e-17       7.297e-18   25.35       2.227e-30       2.667e-31    1.42  N    0.81
    470    142      53.0844835     -27.5890927       3.677e-17       4.903e-18   61.21       1.078e-30       1.705e-31    0.54  N    1.25
    470    146      52.9093939     -27.5586333       5.395e-17       6.808e-18  103.63       9.346e-31       2.464e-31    3.55  N    0.82
    470    147      53.0395925     -27.5626656       4.474e-17       4.759e-18   46.43       1.730e-30       1.681e-31    0.77  N    0.99
    475      2      53.0618792     -28.0469748       4.064e-17       8.465e-18   34.08       2.118e-30       2.494e-31    1.19  N    1.69
    475      3      53.1276510     -28.0444988       6.609e-17       6.946e-18   56.15       2.091e-30       2.813e-31    1.24  N    1.44
    475      6      53.1312373     -28.0380513       4.267e-17       8.825e-18   34.99       2.166e-30       4.030e-31    1.03  N    1.44
    475      8      53.3850008     -28.0262955       6.106e-17       7.863e-18   76.00       1.427e-30       3.479e-31    0.84  N    0.55
    475      9      53.0462044     -28.0225687       6.904e-17       8.588e-18   80.44       1.525e-30       2.414e-31    0.76  N    1.79
    475     10      53.0573592     -28.0216327       3.958e-17       4.716e-18  151.43       4.643e-31       1.340e-31    1.54  N    1.84
    475     12      52.9055256     -28.0165598       4.688e-17       5.033e-18  101.30       8.221e-31       1.424e-31    0.61  N    0.65
    475     14      52.9918979     -27.9998769       3.025e-17       7.153e-18   21.03       2.555e-30       2.271e-31    1.56  N    0.96
    475     16      53.1319222     -27.9715771       3.415e-17       6.164e-18   31.39       1.932e-30       2.419e-31    0.94  N    0.78
    475     26      52.8728943     -27.9427427       3.258e-17       5.970e-18   28.13       2.057e-30       2.149e-31    1.54  N    0.86
    475     31      53.0383898     -27.9141558       4.053e-17       5.867e-18   28.41       2.534e-30       2.182e-31    0.53  N    0.59
    475     33      52.9111707     -27.9062251       4.957e-17       6.164e-18   25.18       3.497e-30       2.336e-31    2.00  N    0.94
    475     39      53.3727082     -27.8778773       4.783e-17       8.421e-18   21.00       4.046e-30       5.962e-31    0.38  N    1.10
    475     40      53.3686923     -27.8743486       4.175e-17       6.207e-18  103.53       7.163e-31       3.035e-31    0.60  N    1.10
    475     41      52.8674635     -27.8708706       1.570e-16       7.550e-18  164.04       1.700e-30       2.976e-31    1.35  N    0.80
    475     45      53.1930866     -27.8480818       4.548e-17       6.430e-18   18.83       4.291e-30       2.419e-31    1.20  N    0.68
    475     53      53.2584817     -27.8233651       5.332e-17       4.770e-18   64.97       1.458e-30       2.029e-31    0.53  N    1.01
    475     67      53.2714117     -27.7887673       2.909e-17       5.042e-18  707.58       7.304e-32       1.976e-31   -0.15  N    1.12
    475     75      52.9534831     -27.7783728       8.442e-17       9.320e-18   42.04       3.567e-30       3.598e-31    0.98  N    1.15
    475     80      52.9774505     -27.7526524       3.300e-17       6.867e-18   30.01       1.953e-30       2.527e-31    0.41  N    1.45
    475     83      52.9978906     -27.7477450       4.846e-17       5.881e-18   54.73       1.573e-30       2.148e-31    0.33  N    1.26
    475     87      53.3195219     -27.7359308       3.754e-17       4.623e-18  105.90       6.296e-31       1.686e-31    0.60  N    1.99
    475     91      53.3112034     -27.7279235       1.658e-16       1.127e-17   76.61       3.845e-30       4.069e-31    0.31  N    1.98
    475     93      53.3692828     -27.7207686       3.492e-17       7.103e-18   22.21       2.793e-30       2.665e-31    2.61  N    2.01
    475     97      53.2402928     -27.7160200       5.776e-17       9.544e-18   38.63       2.656e-30       3.264e-31    0.57  N    0.89
    475     99      53.3858469     -27.7110701       2.944e-17       5.989e-18   46.67       1.120e-30       2.250e-31    0.89  N    1.76
    475    101      53.3314651     -27.7087444       4.350e-17       6.311e-18  390.14       1.981e-31       3.028e-31    0.55  N    2.10
    475    102      52.9133310     -27.7084259       2.958e-17       7.413e-18   25.30       2.077e-30       4.722e-31    0.57  N    0.69
    475    114      53.3820181     -27.6745739       2.951e-17       6.407e-18   44.62       1.175e-30       2.325e-31    0.91  N    1.31
    475    121      53.1843458     -27.6691314       3.050e-17       4.015e-18  254.61       2.128e-31       1.233e-31    1.74  N    0.64
    470      6      52.8450410     -28.0311089       1.917e-16       2.598e-17   25.67       1.340e-29       6.816e-31    1.75  N    0.65
    466     25      52.9582259     -27.9650319       5.619e-17       6.228e-18   84.69       1.201e-30       1.960e-31    1.23  N    1.39
    470     33      53.1164635     -27.9153460       9.771e-17       5.390e-18   71.39       2.457e-30       2.115e-31    0.53  N    1.80
    470     49      53.3395074     -27.8475801       4.024e-17       4.976e-18  123.08       5.869e-31       1.769e-31    0.89  N    1.14
    470     50      53.1923997     -27.8443264       4.255e-17       5.526e-18   80.75       9.460e-31       1.940e-31    0.83  N    2.05
    466    108      52.9381186     -27.8002270       6.455e-17       9.285e-18  731.76       1.597e-31       3.062e-31    0.54  N    4.08
    466    109      53.0393315     -27.8019100       1.713e-15       9.394e-18   30.69       1.010e-28       2.874e-31    1.86  X    4.05
    466    112      53.2220572     -27.7944578       3.599e-17       4.160e-18   71.46       9.120e-31       1.201e-31    0.97  N    4.37
    466    128      52.9575416     -27.7805042       3.056e-17       7.475e-18   41.58       1.331e-30       2.334e-31    0.78  N    4.04
    470     75      53.1989685     -27.7795338       3.391e-17       6.916e-18   23.33       2.610e-30       2.195e-31    0.62  N    3.74
    466    140      53.0492705     -27.7679655       4.651e-17       7.409e-18   46.95       1.793e-30       2.129e-31    1.10  N    2.27
    470     85      53.0869975     -27.7653146       7.929e-17       7.601e-18  295.28       4.820e-31       2.598e-31    0.80  N    3.41
    470    116      53.0471888     -27.7042317       1.713e-16       7.066e-18  139.23       2.208e-30       2.344e-31    1.13  N    3.31
    470    137      52.9807505     -27.6244606       1.186e-16       6.866e-18  188.85       1.127e-30       2.587e-31    2.11  N    0.85
    470      4      53.3994654     -28.0405176       4.064e-17       6.988e-18   30.94       2.358e-30       5.199e-31    1.60  N    1.24
    470     14      53.1061775     -27.9723544       1.550e-16       1.312e-17   20.50       1.357e-29       9.860e-31    0.46  N    1.78
    470     57      52.8767510     -27.8206984       2.060e-16       1.167e-17 5521.19       6.698e-32       3.679e-31    0.58  N    1.37
