03 33 07.7700,-27 38 19.200,03 33 07.77,-27 38 19.2,-16.563,126,0.0,53.282375,-27.638666666666673
03 32 34.3100,-27 47 59.200,03 32 34.31,-27 47 59.2,-16.567,163,3.102,53.14295833333332,-27.799777777777777
03 33 16.7100,-28 02 58.600,03 33 16.71,-28 02 58.6,-16.567,227,0.0,53.31962500000001,-28.049611111111112
03 31 51.6700,-27 48 12.900,03 31 51.67,-27 48 12.9,-16.567,514,0.0,52.96529166666667,-27.803583333333332
03 31 54.6900,-27 52 52.800,03 31 54.69,-27 52 52.8,-16.571,255,0.0,52.977875,-27.881333333333334
03 32 55.9000,-27 52 58.900,03 32 55.90,-27 52 58.9,-16.575,339,0.0,53.23291666666666,-27.88302777777777
03 33 14.6400,-27 36 14.000,03 33 14.64,-27 36 14.0,-16.579,205,3.107,53.31099999999999,-27.60388888888889
03 31 50.3700,-27 59 33.700,03 31 50.37,-27 59 33.7,-16.579,321,0.0,52.959875,-27.992694444444453
03 33 07.1600,-27 48 51.500,03 33 07.16,-27 48 51.5,-16.579,191,3.114,53.27983333333333,-27.81430555555556
03 33 08.2800,-27 41 54.500,03 33 08.28,-27 41 54.5,-16.583,272,0.0,53.284499999999994,-27.69847222222222
03 33 26.2200,-27 46 08.500,03 33 26.22,-27 46 08.5,-16.583,724,0.0,53.359249999999996,-27.76902777777778
03 33 11.0700,-27 39 01.500,03 33 11.07,-27 39 01.5,-16.591,198,0.0,53.296125,-27.650416666666665
03 33 24.3200,-28 02 58.800,03 33 24.32,-28 02 58.8,-16.595,389,0.0,53.351333333333336,-28.049666666666667
03 32 39.2200,-27 47 11.600,03 32 39.22,-27 47 11.6,-16.611,120,0.0,53.16341666666666,-27.78655555555556
03 32 06.8600,-27 53 33.400,03 32 06.86,-27 53 33.4,-16.619,611,0.0,53.02858333333333,-27.89261111111111
03 32 58.5700,-27 41 31.000,03 32 58.57,-27 41 31.0,-16.619,307,0.0,53.244041666666675,-27.691944444444438
03 31 52.8300,-27 45 18.600,03 31 52.83,-27 45 18.6,-16.623,186,3.106,52.97012500000001,-27.755166666666668
03 33 12.8900,-28 03 08.200,03 33 12.89,-28 03 08.2,-16.627,739,0.0,53.30370833333335,-28.052277777777782
03 33 18.5600,-27 33 49.500,03 33 18.56,-27 33 49.5,-16.635,926,0.0,53.327333333333335,-27.563750000000002
03 33 21.6900,-27 45 06.900,03 33 21.69,-27 45 06.9,-16.635,163,0.0,53.340374999999995,-27.751916666666666
03 33 02.9900,-28 02 34.900,03 33 02.99,-28 02 34.9,-16.635,136,0.0,53.262458333333335,-28.043027777777766
03 32 57.3500,-27 51 42.100,03 32 57.35,-27 51 42.1,-16.635,331,0.0,53.238958333333336,-27.86169444444445
03 33 38.7400,-27 47 02.500,03 33 38.74,-27 47 02.5,-16.643,460,0.0,53.41141666666667,-27.784027777777776
03 32 14.5700,-27 45 52.400,03 32 14.57,-27 45 52.4,-16.647,314,3.118,53.06070833333334,-27.764555555555557
03 32 11.1600,-28 03 29.400,03 32 11.16,-28 03 29.4,-16.647,357,0.0,53.04649999999999,-28.058166666666654
03 32 08.6100,-27 57 11.700,03 32 08.61,-27 57 11.7,-16.659,564,0.0,53.035875000000004,-27.95325
03 33 11.9700,-27 49 55.500,03 33 11.97,-27 49 55.5,-16.663,120,0.0,53.299875000000014,-27.832083333333337
03 31 47.6100,-28 02 06.400,03 31 47.61,-28 02 06.4,-16.667,377,0.0,52.948375,-28.03511111111111
03 31 56.4100,-27 38 12.600,03 31 56.41,-27 38 12.6,-16.671,101,0.0,52.98504166666668,-27.636833333333335
03 32 26.0700,-27 53 03.300,03 32 26.07,-27 53 03.3,-16.671,530,0.0,53.108624999999996,-27.884249999999998
03 31 27.3300,-27 56 52.000,03 31 27.33,-27 56 52.0,-16.675,381,0.0,52.86387500000001,-27.947777777777773
03 31 42.4200,-27 57 04.500,03 31 42.42,-27 57 04.5,-16.679,205,0.0,52.92674999999999,-27.951249999999998
03 33 34.2200,-27 46 39.700,03 33 34.22,-27 46 39.7,-16.679,121,0.0,53.392583333333334,-27.77769444444445
03 33 04.6900,-27 59 42.800,03 33 04.69,-27 59 42.8,-16.683,222,0.0,53.26954166666667,-27.99522222222222
03 32 48.4200,-27 57 06.400,03 32 48.42,-27 57 06.4,-16.683,410,0.0,53.20174999999999,-27.951777777777778
03 33 17.4900,-28 00 28.100,03 33 17.49,-28 00 28.1,-16.683,285,0.0,53.32287499999999,-28.00780555555555
03 32 23.2600,-27 57 04.800,03 32 23.26,-27 57 04.8,-16.687,514,0.0,53.096916666666665,-27.951333333333338
03 31 32.8500,-28 03 11.300,03 31 32.85,-28 03 11.3,-16.687,311,0.0,52.886874999999996,-28.053138888888885
03 33 03.0600,-27 36 55.300,03 33 03.06,-27 36 55.3,-16.687,385,3.107,53.26275000000001,-27.615361111111106
03 32 59.1100,-27 41 08.200,03 32 59.11,-27 41 08.2,-16.687,581,0.0,53.246291666666664,-27.68561111111111
03 31 51.7700,-27 57 28.600,03 31 51.77,-27 57 28.6,-16.687,617,0.0,52.96570833333333,-27.95794444444444
